team,code,date,opponent,opponentCode,goalsFor,goalsAgainst,score,result,competition
Spain,ESP,2025-08-25,Canada,CAN,1,0,1-0,W,Liga das Nações
Saudi Arabia,KSA,2026-05-29,Türkiye,TUR,1,0,1-0,W,Liga das Nações
Saudi Arabia,KSA,2026-04-28,Argentina,ARG,1,0,1-0,W,Liga das Nações
Saudi Arabia,KSA,2026-03-25,Croatia,CRO,1,1,1-1,D,Copa Continental
Saudi Arabia,KSA,2026-02-27,Sweden,SWE,1,1,1-1,D,Liga das Nações
Saudi Arabia,KSA,2026-01-27,Tunisia,TUN,1,2,1-2,L,Eliminatórias Copa
Saudi Arabia,KSA,2025-12-27,France,FRA,2,1,2-1,W,Copa Continental
Saudi Arabia,KSA,2025-11-25,Korea Republic,KOR,2,2,2-2,D,Eliminatórias Copa
Saudi Arabia,KSA,2025-10-30,Spain,ESP,0,4,0-4,L,Liga das Nações
Saudi Arabia,KSA,2025-09-28,Switzerland,SUI,0,3,0-3,L,Liga das Nações
Saudi Arabia,KSA,2025-08-31,Curaçao,CUW,2,0,2-0,W,Amistoso Internacional
Norway,NOR,2026-05-22,Colombia,COL,2,2,2-2,D,Eliminatórias Copa
Norway,NOR,2026-05-02,Egypt,EGY,1,0,1-0,W,Amistoso Internacional
Norway,NOR,2026-03-28,Korea Republic,KOR,2,0,2-0,W,Liga das Nações
Norway,NOR,2026-02-25,Spain,ESP,0,1,0-1,L,Liga das Nações
Norway,NOR,2026-02-01,Spain,ESP,1,2,1-2,L,Liga das Nações
Norway,NOR,2025-12-31,Senegal,SEN,0,1,0-1,L,Liga das Nações
Norway,NOR,2025-11-28,Congo DR,COD,1,2,1-2,L,Eliminatórias Copa
Norway,NOR,2025-10-30,Netherlands,NED,0,4,0-4,L,Copa Continental
Norway,NOR,2025-09-28,Colombia,COL,1,1,1-1,D,Liga das Nações
Norway,NOR,2025-08-31,Colombia,COL,0,0,0-0,D,Amistoso Internacional
Senegal,SEN,2026-06-01,Ecuador,ECU,1,0,1-0,W,Eliminatórias Copa
Senegal,SEN,2026-04-22,Panama,PAN,3,0,3-0,W,Eliminatórias Copa
Senegal,SEN,2026-03-25,Cabo Verde,CPV,4,0,4-0,W,Eliminatórias Copa
Senegal,SEN,2026-02-23,Curaçao,CUW,2,0,2-0,W,Liga das Nações
Senegal,SEN,2026-01-26,Norway,NOR,2,0,2-0,W,Copa Continental
Senegal,SEN,2026-01-02,Uzbekistan,UZB,3,3,3-3,D,Liga das Nações
Senegal,SEN,2025-11-24,Panama,PAN,2,0,2-0,W,Eliminatórias Copa
Senegal,SEN,2025-10-27,Tunisia,TUN,1,0,1-0,W,Eliminatórias Copa
Senegal,SEN,2025-10-03,Haiti,HAI,1,0,1-0,W,Copa Continental
Senegal,SEN,2025-09-04,France,FRA,1,1,1-1,D,Amistoso Internacional
France,FRA,2026-05-28,New Zealand,NZL,3,0,3-0,W,Copa Continental
France,FRA,2026-04-28,Congo DR,COD,2,1,2-1,W,Eliminatórias Copa
France,FRA,2026-03-25,Spain,ESP,1,2,1-2,L,Amistoso Internacional
France,FRA,2026-02-27,New Zealand,NZL,1,1,1-1,D,Copa Continental
France,FRA,2026-01-23,Uruguay,URU,0,0,0-0,D,Eliminatórias Copa
France,FRA,2025-12-30,Iraq,IRQ,1,0,1-0,W,Eliminatórias Copa
France,FRA,2025-12-01,Senegal,SEN,3,1,3-1,W,Amistoso Internacional
France,FRA,2025-10-25,Paraguay,PAR,1,0,1-0,W,Eliminatórias Copa
France,FRA,2025-09-25,Switzerland,SUI,2,0,2-0,W,Amistoso Internacional
France,FRA,2025-08-26,Côte d’Ivoire,CIV,3,1,3-1,W,Eliminatórias Copa
Iraq,IRQ,2026-05-31,Tunisia,TUN,1,1,1-1,D,Eliminatórias Copa
Iraq,IRQ,2026-04-22,IR Iran,IRN,2,3,2-3,L,Amistoso Internacional
Iraq,IRQ,2026-03-28,Morocco,MAR,0,3,0-3,L,Eliminatórias Copa
Iraq,IRQ,2026-02-28,Congo DR,COD,3,2,3-2,W,Copa Continental
Iraq,IRQ,2026-01-29,Korea Republic,KOR,3,2,3-2,W,Eliminatórias Copa
Iraq,IRQ,2025-12-30,Türkiye,TUR,2,0,2-0,W,Eliminatórias Copa
Iraq,IRQ,2025-11-28,Cabo Verde,CPV,0,1,0-1,L,Eliminatórias Copa
Iraq,IRQ,2025-10-25,Ecuador,ECU,1,2,1-2,L,Copa Continental
Iraq,IRQ,2025-09-25,Haiti,HAI,3,0,3-0,W,Copa Continental
Iraq,IRQ,2025-08-31,Brazil,BRA,2,2,2-2,D,Liga das Nações
Argentina,ARG,2026-05-31,England,ENG,4,2,4-2,W,Amistoso Internacional
Argentina,ARG,2026-04-29,Qatar,QAT,0,1,0-1,L,Eliminatórias Copa
Argentina,ARG,2026-03-27,New Zealand,NZL,2,1,2-1,W,Amistoso Internacional
Argentina,ARG,2026-02-27,Egypt,EGY,3,0,3-0,W,Amistoso Internacional
Argentina,ARG,2026-01-23,Austria,AUT,1,1,1-1,D,Liga das Nações
Argentina,ARG,2025-12-24,Uzbekistan,UZB,2,0,2-0,W,Amistoso Internacional
Argentina,ARG,2025-11-24,England,ENG,1,2,1-2,L,Eliminatórias Copa
Argentina,ARG,2025-11-03,Tunisia,TUN,4,0,4-0,W,Liga das Nações
Argentina,ARG,2025-09-28,Egypt,EGY,1,2,1-2,L,Amistoso Internacional
Argentina,ARG,2025-08-29,South Africa,RSA,1,1,1-1,D,Eliminatórias Copa
Austria,AUT,2026-05-30,Czechia,CZE,0,2,0-2,L,Copa Continental
Austria,AUT,2026-04-22,France,FRA,1,3,1-3,L,Eliminatórias Copa
Austria,AUT,2026-04-01,Sweden,SWE,2,2,2-2,D,Liga das Nações
Austria,AUT,2026-02-28,Korea Republic,KOR,1,0,1-0,W,Amistoso Internacional
Austria,AUT,2026-01-30,Netherlands,NED,0,0,0-0,D,Copa Continental
Austria,AUT,2025-12-26,Ghana,GHA,0,2,0-2,L,Copa Continental
Austria,AUT,2025-12-02,Haiti,HAI,2,2,2-2,D,Eliminatórias Copa
Austria,AUT,2025-11-02,South Africa,RSA,2,1,2-1,W,Eliminatórias Copa
Austria,AUT,2025-09-26,Haiti,HAI,3,0,3-0,W,Liga das Nações
Austria,AUT,2025-09-04,Senegal,SEN,1,0,1-0,W,Amistoso Internacional
Jordan,JOR,2026-05-28,England,ENG,0,1,0-1,L,Amistoso Internacional
Jordan,JOR,2026-04-22,Tunisia,TUN,2,2,2-2,D,Copa Continental
Jordan,JOR,2026-03-30,Uruguay,URU,1,0,1-0,W,Amistoso Internacional
Jordan,JOR,2026-03-01,Australia,AUS,3,2,3-2,W,Amistoso Internacional
Jordan,JOR,2026-01-27,Scotland,SCO,2,1,2-1,W,Liga das Nações
Jordan,JOR,2025-12-27,Cabo Verde,CPV,0,1,0-1,L,Eliminatórias Copa
Jordan,JOR,2025-12-02,Côte d’Ivoire,CIV,0,0,0-0,D,Liga das Nações
Jordan,JOR,2025-10-30,Panama,PAN,1,1,1-1,D,Copa Continental
Jordan,JOR,2025-09-25,South Africa,RSA,1,3,1-3,L,Eliminatórias Copa
Jordan,JOR,2025-09-03,Austria,AUT,1,0,1-0,W,Copa Continental
Algeria,ALG,2026-05-22,Côte d’Ivoire,CIV,0,3,0-3,L,Amistoso Internacional
Algeria,ALG,2026-04-26,Germany,GER,1,1,1-1,D,Amistoso Internacional
Algeria,ALG,2026-04-02,Saudi Arabia,KSA,0,2,0-2,L,Liga das Nações
Algeria,ALG,2026-03-03,Switzerland,SUI,1,0,1-0,W,Liga das Nações
Algeria,ALG,2026-02-01,Iraq,IRQ,3,2,3-2,W,Liga das Nações
Algeria,ALG,2025-12-30,Argentina,ARG,0,2,0-2,L,Eliminatórias Copa
Algeria,ALG,2025-12-01,Croatia,CRO,1,1,1-1,D,Copa Continental
Algeria,ALG,2025-10-24,France,FRA,1,0,1-0,W,Eliminatórias Copa
Algeria,ALG,2025-10-04,Tunisia,TUN,0,1,0-1,L,Liga das Nações
Algeria,ALG,2025-08-31,Saudi Arabia,KSA,2,2,2-2,D,Liga das Nações
Portugal,POR,2026-05-28,Sweden,SWE,0,0,0-0,D,Amistoso Internacional
Portugal,POR,2026-04-24,New Zealand,NZL,2,2,2-2,D,Amistoso Internacional
Portugal,POR,2026-03-26,Egypt,EGY,2,1,2-1,W,Amistoso Internacional
Portugal,POR,2026-02-25,France,FRA,1,0,1-0,W,Amistoso Internacional
Portugal,POR,2026-01-30,Senegal,SEN,2,0,2-0,W,Liga das Nações
Portugal,POR,2025-12-24,Iraq,IRQ,1,0,1-0,W,Amistoso Internacional
Portugal,POR,2025-12-02,Bosnia and Herzegovina,BIH,2,0,2-0,W,Amistoso Internacional
Portugal,POR,2025-10-24,Norway,NOR,2,0,2-0,W,Amistoso Internacional
Portugal,POR,2025-09-26,Paraguay,PAR,1,2,1-2,L,Liga das Nações
Portugal,POR,2025-08-25,Croatia,CRO,0,4,0-4,L,Copa Continental
Uzbekistan,UZB,2026-05-28,Ecuador,ECU,2,1,2-1,W,Liga das Nações
Uzbekistan,UZB,2026-04-29,Egypt,EGY,1,2,1-2,L,Liga das Nações
Uzbekistan,UZB,2026-03-28,Austria,AUT,0,0,0-0,D,Amistoso Internacional
Uzbekistan,UZB,2026-02-22,Austria,AUT,0,1,0-1,L,Amistoso Internacional
Uzbekistan,UZB,2026-01-29,Korea Republic,KOR,4,0,4-0,W,Copa Continental
Uzbekistan,UZB,2025-12-26,Norway,NOR,2,2,2-2,D,Copa Continental
Uzbekistan,UZB,2025-12-03,Ecuador,ECU,0,1,0-1,L,Copa Continental
Uzbekistan,UZB,2025-11-03,Mexico,MEX,2,0,2-0,W,Amistoso Internacional
Uzbekistan,UZB,2025-09-25,Iraq,IRQ,1,2,1-2,L,Amistoso Internacional
Uzbekistan,UZB,2025-08-25,Czechia,CZE,1,1,1-1,D,Eliminatórias Copa
Colombia,COL,2026-05-27,Saudi Arabia,KSA,1,1,1-1,D,Liga das Nações
Colombia,COL,2026-05-02,Mexico,MEX,1,1,1-1,D,Copa Continental
Colombia,COL,2026-03-30,Tunisia,TUN,2,1,2-1,W,Amistoso Internacional
Colombia,COL,2026-02-21,Korea Republic,KOR,0,0,0-0,D,Amistoso Internacional
Colombia,COL,2026-01-26,Tunisia,TUN,1,2,1-2,L,Liga das Nações
Colombia,COL,2025-12-23,Uruguay,URU,0,2,0-2,L,Liga das Nações
Colombia,COL,2025-11-24,Türkiye,TUR,2,1,2-1,W,Copa Continental
Colombia,COL,2025-11-01,Cabo Verde,CPV,2,1,2-1,W,Copa Continental
Colombia,COL,2025-09-26,Belgium,BEL,0,1,0-1,L,Eliminatórias Copa
Colombia,COL,2025-08-26,Cabo Verde,CPV,1,0,1-0,W,Amistoso Internacional
Congo DR,COD,2026-05-25,Korea Republic,KOR,1,1,1-1,D,Eliminatórias Copa
Congo DR,COD,2026-04-30,Bosnia and Herzegovina,BIH,0,0,0-0,D,Copa Continental
Congo DR,COD,2026-03-31,Portugal,POR,2,0,2-0,W,Amistoso Internacional
Congo DR,COD,2026-02-27,Türkiye,TUR,1,0,1-0,W,Amistoso Internacional
Congo DR,COD,2026-01-27,Iraq,IRQ,1,1,1-1,D,Eliminatórias Copa
Congo DR,COD,2025-12-26,South Africa,RSA,0,2,0-2,L,Eliminatórias Copa
Congo DR,COD,2025-11-27,Morocco,MAR,0,1,0-1,L,Copa Continental
Congo DR,COD,2025-10-29,Iraq,IRQ,2,1,2-1,W,Eliminatórias Copa
Congo DR,COD,2025-10-02,Sweden,SWE,1,1,1-1,D,Eliminatórias Copa
Congo DR,COD,2025-09-04,Tunisia,TUN,1,0,1-0,W,Amistoso Internacional
England,ENG,2026-05-25,Cabo Verde,CPV,1,0,1-0,W,Eliminatórias Copa
England,ENG,2026-04-27,Côte d’Ivoire,CIV,4,2,4-2,W,Amistoso Internacional
England,ENG,2026-03-29,Iraq,IRQ,0,0,0-0,D,Eliminatórias Copa
England,ENG,2026-02-26,Spain,ESP,1,0,1-0,W,Amistoso Internacional
England,ENG,2026-01-22,Senegal,SEN,1,0,1-0,W,Liga das Nações
England,ENG,2025-12-29,Ghana,GHA,0,3,0-3,L,Eliminatórias Copa
England,ENG,2025-11-27,Iraq,IRQ,1,2,1-2,L,Eliminatórias Copa
England,ENG,2025-10-27,Switzerland,SUI,0,1,0-1,L,Eliminatórias Copa
England,ENG,2025-09-28,Switzerland,SUI,4,0,4-0,W,Amistoso Internacional
England,ENG,2025-08-25,Tunisia,TUN,1,1,1-1,D,Eliminatórias Copa
Ghana,GHA,2026-05-24,Norway,NOR,3,0,3-0,W,Copa Continental
Ghana,GHA,2026-04-29,Ecuador,ECU,2,2,2-2,D,Liga das Nações
Ghana,GHA,2026-04-02,Belgium,BEL,0,3,0-3,L,Eliminatórias Copa
Ghana,GHA,2026-03-01,Ecuador,ECU,0,1,0-1,L,Eliminatórias Copa
Ghana,GHA,2026-01-24,Colombia,COL,1,3,1-3,L,Eliminatórias Copa
Ghana,GHA,2025-12-24,France,FRA,3,2,3-2,W,Copa Continental
Ghana,GHA,2025-11-27,Iraq,IRQ,3,1,3-1,W,Amistoso Internacional
Ghana,GHA,2025-10-30,Spain,ESP,1,2,1-2,L,Eliminatórias Copa
Ghana,GHA,2025-10-04,Mexico,MEX,0,1,0-1,L,Amistoso Internacional
Ghana,GHA,2025-09-03,Haiti,HAI,1,1,1-1,D,Eliminatórias Copa
Panama,PAN,2026-05-30,Germany,GER,0,3,0-3,L,Amistoso Internacional
Panama,PAN,2026-04-28,Argentina,ARG,0,3,0-3,L,Copa Continental
Panama,PAN,2026-03-24,Uruguay,URU,0,2,0-2,L,Eliminatórias Copa
Panama,PAN,2026-02-21,Sweden,SWE,0,1,0-1,L,Eliminatórias Copa
Panama,PAN,2026-01-27,Argentina,ARG,0,2,0-2,L,Liga das Nações
Panama,PAN,2026-01-01,Congo DR,COD,0,3,0-3,L,Eliminatórias Copa
Panama,PAN,2025-12-02,Portugal,POR,0,1,0-1,L,Amistoso Internacional
Panama,PAN,2025-11-02,Cabo Verde,CPV,1,2,1-2,L,Copa Continental
Panama,PAN,2025-09-24,Brazil,BRA,0,2,0-2,L,Copa Continental
Panama,PAN,2025-09-03,New Zealand,NZL,2,1,2-1,W,Amistoso Internacional
Croatia,CRO,2026-05-27,Qatar,QAT,0,2,0-2,L,Amistoso Internacional
Croatia,CRO,2026-04-22,Mexico,MEX,2,3,2-3,L,Copa Continental
Croatia,CRO,2026-03-28,Scotland,SCO,1,2,1-2,L,Liga das Nações
Croatia,CRO,2026-03-03,Senegal,SEN,1,0,1-0,W,Amistoso Internacional
Croatia,CRO,2026-01-29,Algeria,ALG,1,1,1-1,D,Liga das Nações
Croatia,CRO,2025-12-30,South Africa,RSA,3,0,3-0,W,Amistoso Internacional
Croatia,CRO,2025-12-03,Norway,NOR,0,1,0-1,L,Copa Continental
Croatia,CRO,2025-10-29,Austria,AUT,2,1,2-1,W,Eliminatórias Copa
Croatia,CRO,2025-09-30,Netherlands,NED,2,3,2-3,L,Liga das Nações
Croatia,CRO,2025-08-30,IR Iran,IRN,1,1,1-1,D,Eliminatórias Copa
